DEPT_ID,STATE_NAME,1987,1998,2008,
DZ-16,Algiers Province,1687579,2561992,2988145,
DZ-31,Oran Province,916678,1155464,1584607,
DZ-19,Setif Province,997482,1315940,1496150,
DZ-17,Djelfa Province,490240,860981,1223223,
DZ-5,Batna Province,757059,968820,1128030,
DZ-15,Tizi Ouzou Province,931501,1101059,1127608,
DZ-2,Chlef Province,679717,884978,1013718,
DZ-9,Blida Province,704462,787069,1009892,
DZ-28,MSila Province,605578,815045,991846,
DZ-13,Tlemcen Province,707453,846942,949135,
DZ-14,Tiaret Province,574786,728513,946823,
DZ-25,Constantine Province,662330,815032,943112,
DZ-6,Bejaia Province,697669,848560,915835,
DZ-21,Skikda Province,619094,787118,904195,
DZ-26,Medea Province,650623,721861,830943,
DZ-35,Boumerdes Province,646870,645497,802083,
DZ-29,Mascara Province,562806,677099,784073,
DZ-44,Ain Defla Province,536205,659182,771890,
DZ-43,Mila Province,511047,680815,766886,
DZ-27,Mostaganem Province,504124,629445,746947,
DZ-48,Relizane Province,545061,639253,733060,
DZ-7,Biskra Province,429217,588648,730262,
DZ-34,Bordj Bou Arreridj Province,429009,559928,716423,
DZ-10,Bouira Province,525460,626586,695583,
DZ-39,El Oued Province,379512,529842,673934,
DZ-12,Tebessa Province,409317,550021,657227,
DZ-4,Oum El Bouaghi Province,402683,533711,644364,
DZ-23,Annaba Province,453951,555485,640050,
DZ-18,Jijel Province,471319,574336,636948,
DZ-42,Tipaza Province,615140,505382,617661,
DZ-22,Sidi Bel Abbès Province,444047,529704,604744,
DZ-30,Ouargla Province,286696,438831,558558,
DZ-24,Guelma Province,353329,432721,482430,
DZ-3,Laghouat Province,215183,327634,477328,
DZ-41,Souk Ahras Province,298236,373033,440299,
DZ-1,Adrar Province,216931,311952,439693,
DZ-36,El Tarf Province,276836,354213,411783,
DZ-40,Khenchela Province,243733,348122,386683,
DZ-46,Ain Temouchent Province,271454,326611,384565,
DZ-47,Ghardaia Province,215955,296926,375988,
DZ-20,Saida Province,235240,280752,330641,
DZ-38,Tissemsilt Province,227542,261298,296366,
DZ-8,Bechar Province,183896,230482,274866,
DZ-32,El Bayadh Province,155494,226528,262187,
DZ-45,Naama Province,112858,165578,209470,
DZ-11,Tamanrasset Province,94219,151814,198691,
DZ-37,Tindouf Province,16339,32004,159898,
DZ-33,Illizi Province,19698,33960,54490,
